Starting Gen 6 N-Player training for 2000000 episodes on cpu...
Ep     9100 | WinRT:  19.0% | AvgLen: 46.8 | ALoss: -0.001 | CLoss:  0.100 | Ent: 0.154 | Time: 2979.6s
Ep     9200 | WinRT:  22.0% | AvgLen: 45.4 | ALoss: -0.000 | CLoss:  0.116 | Ent: 0.158 | Time: 3045.8s
Ep     9300 | WinRT:  23.0% | AvgLen: 46.1 | ALoss: -0.001 | CLoss:  0.108 | Ent: 0.164 | Time: 3111.9s
Ep     9400 | WinRT:  20.0% | AvgLen: 52.1 | ALoss:  0.000 | CLoss:  0.092 | Ent: 0.158 | Time: 3186.5s
Ep     9500 | WinRT:  24.0% | AvgLen: 47.0 | ALoss: -0.001 | CLoss:  0.114 | Ent: 0.175 | Time: 3250.8s
Ep     9600 | WinRT:  21.0% | AvgLen: 43.2 | ALoss: -0.000 | CLoss:  0.123 | Ent: 0.184 | Time: 3313.9s
Ep     9700 | WinRT:  15.0% | AvgLen: 46.7 | ALoss: -0.001 | CLoss:  0.094 | Ent: 0.191 | Time: 3382.7s
Ep     9800 | WinRT:  26.0% | AvgLen: 44.4 | ALoss:  0.001 | CLoss:  0.131 | Ent: 0.205 | Time: 3447.2s
Ep     9900 | WinRT:  22.0% | AvgLen: 48.7 | ALoss: -0.000 | CLoss:  0.098 | Ent: 0.190 | Time: 3516.3s
Ep    10000 | WinRT:  16.0% | AvgLen: 45.9 | ALoss: -0.001 | CLoss:  0.097 | Ent: 0.177 | Time: 3586.4s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen6.pt
Ep    10100 | WinRT:  19.0% | AvgLen: 45.4 | ALoss: -0.000 | CLoss:  0.102 | Ent: 0.205 | Time: 3653.3s
Ep    10200 | WinRT:  21.0% | AvgLen: 45.2 | ALoss: -0.001 | CLoss:  0.117 | Ent: 0.213 | Time: 3718.8s
Ep    10300 | WinRT:  18.0% | AvgLen: 37.1 | ALoss: -0.001 | CLoss:  0.111 | Ent: 0.228 | Time: 3776.5s
Ep    10400 | WinRT:  19.0% | AvgLen: 43.5 | ALoss: -0.001 | CLoss:  0.108 | Ent: 0.211 | Time: 3842.1s
Ep    10500 | WinRT:  16.0% | AvgLen: 51.0 | ALoss: -0.002 | CLoss:  0.092 | Ent: 0.197 | Time: 3914.4s
Ep    10600 | WinRT:  19.0% | AvgLen: 46.5 | ALoss: -0.002 | CLoss:  0.108 | Ent: 0.192 | Time: 3981.8s
Ep    10700 | WinRT:  19.0% | AvgLen: 42.0 | ALoss: -0.001 | CLoss:  0.105 | Ent: 0.201 | Time: 4044.1s
Ep    10800 | WinRT:  17.0% | AvgLen: 47.7 | ALoss: -0.001 | CLoss:  0.094 | Ent: 0.178 | Time: 4116.7s
Ep    10900 | WinRT:  24.0% | AvgLen: 42.7 | ALoss: -0.001 | CLoss:  0.112 | Ent: 0.180 | Time: 4178.3s
Ep    11000 | WinRT:  25.0% | AvgLen: 44.6 | ALoss: -0.001 | CLoss:  0.118 | Ent: 0.172 | Time: 4243.2s
Ep    11100 | WinRT:  22.0% | AvgLen: 44.1 | ALoss: -0.001 | CLoss:  0.116 | Ent: 0.162 | Time: 4307.9s
Ep    11200 | WinRT:  14.0% | AvgLen: 47.6 | ALoss: -0.000 | CLoss:  0.089 | Ent: 0.142 | Time: 4376.7s
Ep    11300 | WinRT:  14.0% | AvgLen: 41.5 | ALoss: -0.002 | CLoss:  0.085 | Ent: 0.153 | Time: 4438.0s
Ep    11400 | WinRT:  25.0% | AvgLen: 43.3 | ALoss: -0.000 | CLoss:  0.122 | Ent: 0.151 | Time: 4501.4s
Ep    11500 | WinRT:  15.0% | AvgLen: 44.0 | ALoss:  0.001 | CLoss:  0.098 | Ent: 0.141 | Time: 4565.1s
Ep    11600 | WinRT:  26.0% | AvgLen: 47.5 | ALoss:  0.001 | CLoss:  0.117 | Ent: 0.147 | Time: 4633.7s
