Starting Gen 5 Self-Play training for 3500000 episodes on cpu...
Ep    26200 | WinRT:  58.5% | AvgLen: 11.2 | ALoss: -0.002 | CLoss:  0.172 | Ent: 0.121 | Time: 558.4s
Ep    26400 | WinRT:  52.5% | AvgLen: 11.2 | ALoss:  0.000 | CLoss:  0.110 | Ent: 0.129 | Time: 563.1s
Ep    26600 | WinRT:  62.0% | AvgLen: 11.4 | ALoss: -0.002 | CLoss:  0.112 | Ent: 0.120 | Time: 567.9s
Ep    26800 | WinRT:  55.0% | AvgLen: 11.0 | ALoss: -0.002 | CLoss:  0.131 | Ent: 0.125 | Time: 572.5s
Ep    27000 | WinRT:  51.0% | AvgLen: 10.6 | ALoss: -0.001 | CLoss:  0.118 | Ent: 0.141 | Time: 577.0s
Ep    27200 | WinRT:  59.0% | AvgLen: 11.0 | ALoss: -0.002 | CLoss:  0.166 | Ent: 0.127 | Time: 581.7s
Ep    27400 | WinRT:  50.0% | AvgLen: 10.9 | ALoss: -0.002 | CLoss:  0.142 | Ent: 0.135 | Time: 586.3s
Ep    27600 | WinRT:  49.0% | AvgLen: 10.7 | ALoss: -0.001 | CLoss:  0.125 | Ent: 0.143 | Time: 590.8s
Ep    27800 | WinRT:  54.5% | AvgLen: 10.8 | ALoss: -0.001 | CLoss:  0.100 | Ent: 0.135 | Time: 595.5s
Ep    28000 | WinRT:  56.0% | AvgLen: 11.1 | ALoss: -0.002 | CLoss:  0.119 | Ent: 0.132 | Time: 600.2s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep    28200 | WinRT:  49.5% | AvgLen: 10.5 | ALoss: -0.002 | CLoss:  0.135 | Ent: 0.151 | Time: 604.7s
Ep    28400 | WinRT:  58.0% | AvgLen: 10.4 | ALoss: -0.001 | CLoss:  0.127 | Ent: 0.138 | Time: 609.2s
Ep    28600 | WinRT:  56.0% | AvgLen: 10.9 | ALoss: -0.002 | CLoss:  0.135 | Ent: 0.145 | Time: 613.8s
Ep    28800 | WinRT:  58.5% | AvgLen:  9.9 | ALoss: -0.002 | CLoss:  0.185 | Ent: 0.147 | Time: 618.2s
Ep    29000 | WinRT:  53.0% | AvgLen:  9.5 | ALoss: -0.001 | CLoss:  0.178 | Ent: 0.147 | Time: 622.5s
Ep    29200 | WinRT:  59.5% | AvgLen:  9.4 | ALoss: -0.000 | CLoss:  0.236 | Ent: 0.144 | Time: 626.6s
Ep    29400 | WinRT:  60.5% | AvgLen:  9.5 | ALoss: -0.001 | CLoss:  0.200 | Ent: 0.133 | Time: 630.8s
Ep    29600 | WinRT:  54.5% | AvgLen:  9.1 | ALoss:  0.004 | CLoss:  0.265 | Ent: 0.153 | Time: 635.0s
Ep    29800 | WinRT:  57.0% | AvgLen:  9.0 | ALoss:  0.001 | CLoss:  0.187 | Ent: 0.143 | Time: 639.0s
Ep    30000 | WinRT:  52.5% | AvgLen:  9.4 | ALoss: -0.001 | CLoss:  0.271 | Ent: 0.154 | Time: 643.2s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep    30200 | WinRT:  56.0% | AvgLen:  9.7 | ALoss: -0.001 | CLoss:  0.167 | Ent: 0.139 | Time: 647.6s
Ep    30400 | WinRT:  54.0% | AvgLen:  9.8 | ALoss: -0.001 | CLoss:  0.134 | Ent: 0.142 | Time: 651.9s
Ep    30600 | WinRT:  54.5% | AvgLen:  9.8 | ALoss: -0.002 | CLoss:  0.149 | Ent: 0.136 | Time: 656.3s
Ep    30800 | WinRT:  57.5% | AvgLen:  9.2 | ALoss: -0.001 | CLoss:  0.143 | Ent: 0.138 | Time: 660.5s
Ep    31000 | WinRT:  59.0% | AvgLen:  9.8 | ALoss: -0.001 | CLoss:  0.140 | Ent: 0.128 | Time: 664.8s
Ep    31200 | WinRT:  61.0% | AvgLen: 10.1 | ALoss: -0.002 | CLoss:  0.180 | Ent: 0.132 | Time: 669.2s
Ep    31400 | WinRT:  59.5% | AvgLen: 10.0 | ALoss: -0.002 | CLoss:  0.184 | Ent: 0.138 | Time: 673.6s
Ep    31600 | WinRT:  63.5% | AvgLen:  9.8 | ALoss: -0.000 | CLoss:  0.148 | Ent: 0.124 | Time: 678.0s
Ep    31800 | WinRT:  54.0% | AvgLen:  9.3 | ALoss:  0.001 | CLoss:  0.126 | Ent: 0.154 | Time: 682.2s
Ep    32000 | WinRT:  51.0% | AvgLen:  9.4 | ALoss: -0.001 | CLoss:  0.156 | Ent: 0.151 | Time: 686.4s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep    32200 | WinRT:  51.5% | AvgLen:  7.4 | ALoss: -0.000 | CLoss:  0.333 | Ent: 0.163 | Time: 689.9s
Ep    32400 | WinRT:  52.5% | AvgLen:  7.6 | ALoss:  0.012 | CLoss:  0.364 | Ent: 0.170 | Time: 693.4s
Ep    32600 | WinRT:  55.5% | AvgLen:  7.5 | ALoss: -0.001 | CLoss:  0.315 | Ent: 0.151 | Time: 696.9s
Ep    32800 | WinRT:  51.0% | AvgLen:  7.5 | ALoss: -0.001 | CLoss:  0.338 | Ent: 0.169 | Time: 700.4s
Ep    33000 | WinRT:  48.0% | AvgLen:  7.3 | ALoss: -0.000 | CLoss:  0.418 | Ent: 0.161 | Time: 703.9s
Ep    33200 | WinRT:  50.0% | AvgLen:  7.5 | ALoss: -0.001 | CLoss:  0.355 | Ent: 0.154 | Time: 707.4s
Ep    33400 | WinRT:  53.5% | AvgLen:  7.5 | ALoss: -0.001 | CLoss:  0.383 | Ent: 0.137 | Time: 710.9s
Ep    33600 | WinRT:  50.5% | AvgLen:  7.8 | ALoss: -0.002 | CLoss:  0.338 | Ent: 0.140 | Time: 714.5s
Ep    33800 | WinRT:  56.0% | AvgLen:  7.9 | ALoss: -0.003 | CLoss:  0.366 | Ent: 0.122 | Time: 718.1s
Ep    34000 | WinRT:  52.5% | AvgLen:  7.8 | ALoss: -0.000 | CLoss:  0.308 | Ent: 0.126 | Time: 721.8s
  -> Updated self-play snapshot & saved checkpoint to ppo_model_gen5.pt
Ep    34200 | WinRT:  54.5% | AvgLen: 10.1 | ALoss:  0.001 | CLoss:  0.198 | Ent: 0.104 | Time: 726.2s
