Using device: mps
Loaded Gen 1 model ppo_model_gen1.pt for fine-tuning!
Starting PPO training for 200000 episodes...
Ep    10400 | WinRT:  89.0% | AvgLen:  9.4 | ALoss: -0.001 | CLoss:  0.158 | Ent: 0.123 | Time: 863.2s
Ep    10500 | WinRT:  91.0% | AvgLen: 15.6 | ALoss: -0.001 | CLoss:  0.124 | Ent: 0.064 | Time: 870.9s
Ep    10600 | WinRT:  92.0% | AvgLen:  9.1 | ALoss: -0.001 | CLoss:  0.151 | Ent: 0.115 | Time: 875.9s
Ep    10700 | WinRT:  92.0% | AvgLen: 17.5 | ALoss: -0.001 | CLoss:  0.085 | Ent: 0.079 | Time: 885.1s
Ep    10800 | WinRT:  88.0% | AvgLen:  9.8 | ALoss: -0.002 | CLoss:  0.197 | Ent: 0.117 | Time: 890.6s
Ep    10900 | WinRT:  91.0% | AvgLen: 18.1 | ALoss: -0.001 | CLoss:  0.097 | Ent: 0.126 | Time: 900.0s
Ep    11000 | WinRT:  90.0% | AvgLen:  8.6 | ALoss: -0.001 | CLoss:  0.182 | Ent: 0.116 | Time: 904.7s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep    11100 | WinRT:  93.0% | AvgLen:  9.7 | ALoss: -0.000 | CLoss:  0.133 | Ent: 0.107 | Time: 909.7s
Ep    11200 | WinRT:  89.0% | AvgLen: 11.6 | ALoss: -0.003 | CLoss:  0.165 | Ent: 0.124 | Time: 915.6s
Ep    11300 | WinRT:  89.0% | AvgLen: 10.9 | ALoss:  0.001 | CLoss:  0.138 | Ent: 0.129 | Time: 921.0s
Ep    11400 | WinRT:  81.0% | AvgLen: 10.4 | ALoss: -0.002 | CLoss:  0.239 | Ent: 0.129 | Time: 926.5s
Ep    11500 | WinRT:  94.0% | AvgLen:  8.9 | ALoss: -0.000 | CLoss:  0.143 | Ent: 0.129 | Time: 931.1s
Ep    11600 | WinRT:  92.0% | AvgLen:  9.2 | ALoss: -0.000 | CLoss:  0.165 | Ent: 0.120 | Time: 936.0s
Ep    11700 | WinRT:  92.0% | AvgLen: 19.0 | ALoss: -0.001 | CLoss:  0.087 | Ent: 0.097 | Time: 945.4s
Ep    11800 | WinRT:  89.0% | AvgLen: 10.0 | ALoss: -0.002 | CLoss:  0.153 | Ent: 0.115 | Time: 950.5s
Ep    11900 | WinRT:  91.0% | AvgLen: 13.8 | ALoss: -0.003 | CLoss:  0.116 | Ent: 0.113 | Time: 957.6s
Ep    12000 | WinRT:  91.0% | AvgLen: 10.0 | ALoss:  0.001 | CLoss:  0.189 | Ent: 0.109 | Time: 962.3s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep    12100 | WinRT:  90.0% | AvgLen: 11.3 | ALoss:  0.000 | CLoss:  0.180 | Ent: 0.129 | Time: 968.5s
Ep    12200 | WinRT:  95.0% | AvgLen: 11.2 | ALoss:  0.002 | CLoss:  0.089 | Ent: 0.130 | Time: 974.8s
Ep    12300 | WinRT:  86.0% | AvgLen:  9.8 | ALoss: -0.002 | CLoss:  0.180 | Ent: 0.139 | Time: 980.5s
Ep    12400 | WinRT:  90.0% | AvgLen:  8.3 | ALoss:  0.002 | CLoss:  0.167 | Ent: 0.121 | Time: 984.7s
Ep    12500 | WinRT:  91.0% | AvgLen: 10.4 | ALoss: -0.005 | CLoss:  0.174 | Ent: 0.126 | Time: 990.1s
Ep    12600 | WinRT:  91.0% | AvgLen:  7.8 | ALoss: -0.003 | CLoss:  0.214 | Ent: 0.121 | Time: 994.1s
Ep    12700 | WinRT:  86.0% | AvgLen:  9.0 | ALoss:  0.001 | CLoss:  0.239 | Ent: 0.120 | Time: 999.0s
Ep    12800 | WinRT:  92.0% | AvgLen:  9.7 | ALoss:  0.001 | CLoss:  0.138 | Ent: 0.126 | Time: 1004.3s
Ep    12900 | WinRT:  95.0% | AvgLen:  8.8 | ALoss: -0.002 | CLoss:  0.127 | Ent: 0.126 | Time: 1009.0s
Ep    13000 | WinRT:  91.0% | AvgLen: 17.6 | ALoss: -0.000 | CLoss:  0.104 | Ent: 0.077 | Time: 1020.2s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep    13100 | WinRT:  87.0% | AvgLen:  9.4 | ALoss: -0.001 | CLoss:  0.215 | Ent: 0.131 | Time: 1025.1s
Ep    13200 | WinRT:  93.0% | AvgLen:  9.2 | ALoss: -0.002 | CLoss:  0.142 | Ent: 0.120 | Time: 1031.1s
Ep    13300 | WinRT:  92.0% | AvgLen:  8.1 | ALoss: -0.001 | CLoss:  0.175 | Ent: 0.123 | Time: 1035.5s
Ep    13400 | WinRT:  88.0% | AvgLen:  8.4 | ALoss:  0.001 | CLoss:  0.218 | Ent: 0.111 | Time: 1039.4s
Ep    13500 | WinRT:  94.0% | AvgLen:  9.4 | ALoss: -0.003 | CLoss:  0.145 | Ent: 0.129 | Time: 1044.7s
