Using device: mps
Starting PPO training for 500000 episodes...
Ep     8800 | WinRT:  36.0% | AvgLen:  6.5 | ALoss: -0.004 | CLoss:  0.591 | Ent: 1.076 | Time: 279.8s
Ep     8900 | WinRT:  49.0% | AvgLen:  6.5 | ALoss:  0.002 | CLoss:  0.651 | Ent: 1.083 | Time: 283.6s
Ep     9000 | WinRT:  48.0% | AvgLen:  6.5 | ALoss: -0.001 | CLoss:  0.559 | Ent: 1.083 | Time: 287.2s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep     9100 | WinRT:  37.0% | AvgLen:  6.5 | ALoss: -0.002 | CLoss:  0.595 | Ent: 1.080 | Time: 290.5s
Ep     9200 | WinRT:  40.0% | AvgLen:  6.4 | ALoss: -0.002 | CLoss:  0.643 | Ent: 1.076 | Time: 293.5s
Ep     9300 | WinRT:  33.0% | AvgLen:  6.1 | ALoss: -0.003 | CLoss:  0.530 | Ent: 1.073 | Time: 296.5s
Ep     9400 | WinRT:  37.0% | AvgLen:  6.5 | ALoss: -0.002 | CLoss:  0.547 | Ent: 1.057 | Time: 299.7s
Ep     9500 | WinRT:  40.0% | AvgLen:  6.0 | ALoss:  0.001 | CLoss:  0.614 | Ent: 1.071 | Time: 302.4s
Ep     9600 | WinRT:  38.0% | AvgLen:  5.6 | ALoss: -0.004 | CLoss:  0.544 | Ent: 1.060 | Time: 305.7s
Ep     9700 | WinRT:  34.0% | AvgLen:  6.2 | ALoss: -0.006 | CLoss:  0.500 | Ent: 1.056 | Time: 308.6s
Ep     9800 | WinRT:  51.0% | AvgLen:  6.5 | ALoss: -0.001 | CLoss:  0.619 | Ent: 1.092 | Time: 312.1s
Ep     9900 | WinRT:  44.0% | AvgLen:  5.9 | ALoss: -0.003 | CLoss:  0.522 | Ent: 1.086 | Time: 315.2s
Ep    10000 | WinRT:  37.0% | AvgLen:  6.5 | ALoss: -0.005 | CLoss:  0.524 | Ent: 1.087 | Time: 318.4s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep    10100 | WinRT:  38.0% | AvgLen:  5.9 | ALoss: -0.007 | CLoss:  0.523 | Ent: 1.061 | Time: 321.2s
Ep    10200 | WinRT:  39.0% | AvgLen:  6.4 | ALoss:  0.001 | CLoss:  0.552 | Ent: 1.061 | Time: 324.3s
Ep    10300 | WinRT:  49.0% | AvgLen:  6.6 | ALoss:  0.004 | CLoss:  0.580 | Ent: 1.043 | Time: 327.2s
Ep    10400 | WinRT:  39.0% | AvgLen:  6.3 | ALoss:  0.000 | CLoss:  0.562 | Ent: 1.074 | Time: 330.0s
Ep    10500 | WinRT:  45.0% | AvgLen:  6.1 | ALoss: -0.003 | CLoss:  0.599 | Ent: 1.076 | Time: 333.3s
Ep    10600 | WinRT:  43.0% | AvgLen:  6.3 | ALoss:  0.003 | CLoss:  0.582 | Ent: 1.082 | Time: 336.4s
Ep    10700 | WinRT:  43.0% | AvgLen:  6.0 | ALoss: -0.006 | CLoss:  0.544 | Ent: 1.078 | Time: 339.6s
Ep    10800 | WinRT:  44.0% | AvgLen:  6.2 | ALoss: -0.003 | CLoss:  0.580 | Ent: 1.072 | Time: 342.9s
Ep    10900 | WinRT:  47.0% | AvgLen:  6.5 | ALoss:  0.001 | CLoss:  0.612 | Ent: 1.080 | Time: 346.0s
Ep    11000 | WinRT:  42.0% | AvgLen:  6.3 | ALoss: -0.004 | CLoss:  0.578 | Ent: 1.061 | Time: 349.0s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep    11100 | WinRT:  38.0% | AvgLen:  6.3 | ALoss: -0.009 | CLoss:  0.621 | Ent: 1.061 | Time: 352.5s
Ep    11200 | WinRT:  38.0% | AvgLen:  7.0 | ALoss: -0.007 | CLoss:  0.580 | Ent: 1.062 | Time: 355.7s
Ep    11300 | WinRT:  42.0% | AvgLen:  6.5 | ALoss: -0.004 | CLoss:  0.645 | Ent: 1.059 | Time: 358.7s
Ep    11400 | WinRT:  42.0% | AvgLen:  6.8 | ALoss: -0.001 | CLoss:  0.593 | Ent: 1.077 | Time: 361.9s
Ep    11500 | WinRT:  41.0% | AvgLen:  6.2 | ALoss: -0.000 | CLoss:  0.567 | Ent: 1.061 | Time: 364.9s
Ep    11600 | WinRT:  44.0% | AvgLen:  6.6 | ALoss: -0.002 | CLoss:  0.584 | Ent: 1.062 | Time: 367.9s
Ep    11700 | WinRT:  41.0% | AvgLen:  6.8 | ALoss: -0.002 | CLoss:  0.615 | Ent: 1.059 | Time: 371.2s
Ep    11800 | WinRT:  43.0% | AvgLen:  6.2 | ALoss: -0.002 | CLoss:  0.606 | Ent: 1.062 | Time: 374.1s
Ep    11900 | WinRT:  40.0% | AvgLen:  6.4 | ALoss: -0.003 | CLoss:  0.564 | Ent: 1.057 | Time: 377.2s
Ep    12000 | WinRT:  45.0% | AvgLen:  6.4 | ALoss: -0.000 | CLoss:  0.586 | Ent: 1.045 | Time: 380.1s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep    12100 | WinRT:  33.0% | AvgLen:  6.0 | ALoss: -0.002 | CLoss:  0.597 | Ent: 1.041 | Time: 382.9s
Ep    12200 | WinRT:  44.0% | AvgLen:  6.1 | ALoss:  0.003 | CLoss:  0.651 | Ent: 1.054 | Time: 385.7s
Ep    12300 | WinRT:  48.0% | AvgLen:  6.2 | ALoss: -0.005 | CLoss:  0.582 | Ent: 1.056 | Time: 388.6s
Ep    12400 | WinRT:  43.0% | AvgLen:  6.4 | ALoss:  0.002 | CLoss:  0.573 | Ent: 1.064 | Time: 391.6s
Ep    12500 | WinRT:  42.0% | AvgLen:  6.4 | ALoss:  0.000 | CLoss:  0.583 | Ent: 1.055 | Time: 394.5s
Ep    12600 | WinRT:  53.0% | AvgLen:  6.3 | ALoss: -0.000 | CLoss:  0.614 | Ent: 1.063 | Time: 397.4s
Ep    12700 | WinRT:  39.0% | AvgLen:  5.8 | ALoss: -0.004 | CLoss:  0.617 | Ent: 1.069 | Time: 400.7s
Ep    12800 | WinRT:  36.0% | AvgLen:  6.3 | ALoss: -0.000 | CLoss:  0.532 | Ent: 1.053 | Time: 403.6s
Ep    12900 | WinRT:  38.0% | AvgLen:  6.3 | ALoss: -0.007 | CLoss:  0.587 | Ent: 1.077 | Time: 406.6s
Ep    13000 | WinRT:  38.0% | AvgLen:  6.0 | ALoss: -0.001 | CLoss:  0.621 | Ent: 1.060 | Time: 409.7s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep    13100 | WinRT:  47.0% | AvgLen:  6.3 | ALoss: -0.005 | CLoss:  0.715 | Ent: 1.054 | Time: 412.7s
Ep    13200 | WinRT:  44.0% | AvgLen:  5.9 | ALoss:  0.001 | CLoss:  0.592 | Ent: 1.063 | Time: 415.4s
Ep    13300 | WinRT:  39.0% | AvgLen:  6.4 | ALoss:  0.008 | CLoss:  0.654 | Ent: 1.048 | Time: 418.5s
Ep    13400 | WinRT:  40.0% | AvgLen:  6.5 | ALoss: -0.003 | CLoss:  0.595 | Ent: 1.050 | Time: 421.4s
Ep    13500 | WinRT:  31.0% | AvgLen:  6.5 | ALoss: -0.000 | CLoss:  0.565 | Ent: 1.046 | Time: 424.4s
Ep    13600 | WinRT:  50.0% | AvgLen:  6.3 | ALoss:  0.002 | CLoss:  0.635 | Ent: 1.060 | Time: 427.4s
Ep    13700 | WinRT:  55.0% | AvgLen:  6.4 | ALoss: -0.002 | CLoss:  0.631 | Ent: 1.068 | Time: 430.3s
Ep    13800 | WinRT:  41.0% | AvgLen:  6.2 | ALoss:  0.002 | CLoss:  0.553 | Ent: 1.053 | Time: 433.1s
Ep    13900 | WinRT:  51.0% | AvgLen:  6.6 | ALoss: -0.003 | CLoss:  0.581 | Ent: 1.058 | Time: 436.1s
Ep    14000 | WinRT:  42.0% | AvgLen:  6.1 | ALoss: -0.007 | CLoss:  0.598 | Ent: 1.023 | Time: 438.9s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep    14100 | WinRT:  45.0% | AvgLen:  6.2 | ALoss:  0.004 | CLoss:  0.586 | Ent: 1.030 | Time: 442.3s
Ep    14200 | WinRT:  43.0% | AvgLen:  6.6 | ALoss: -0.004 | CLoss:  0.626 | Ent: 1.036 | Time: 445.3s
Ep    14300 | WinRT:  32.0% | AvgLen:  6.8 | ALoss: -0.004 | CLoss:  0.512 | Ent: 1.035 | Time: 448.6s
Ep    14400 | WinRT:  44.0% | AvgLen:  6.5 | ALoss: -0.003 | CLoss:  0.594 | Ent: 1.034 | Time: 451.7s
Ep    14500 | WinRT:  49.0% | AvgLen:  6.4 | ALoss:  0.001 | CLoss:  0.618 | Ent: 1.062 | Time: 454.7s
Ep    14600 | WinRT:  42.0% | AvgLen:  6.3 | ALoss: -0.005 | CLoss:  0.578 | Ent: 1.069 | Time: 457.6s
Ep    14700 | WinRT:  44.0% | AvgLen:  7.0 | ALoss:  0.001 | CLoss:  0.591 | Ent: 1.064 | Time: 461.3s
Ep    14800 | WinRT:  53.0% | AvgLen:  6.6 | ALoss: -0.004 | CLoss:  0.612 | Ent: 1.057 | Time: 464.5s
Ep    14900 | WinRT:  51.0% | AvgLen:  6.3 | ALoss: -0.005 | CLoss:  0.563 | Ent: 1.047 | Time: 467.4s
Ep    15000 | WinRT:  43.0% | AvgLen:  6.2 | ALoss: -0.002 | CLoss:  0.648 | Ent: 1.032 | Time: 470.3s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep    15100 | WinRT:  47.0% | AvgLen:  6.3 | ALoss: -0.000 | CLoss:  0.619 | Ent: 1.048 | Time: 473.3s
Ep    15200 | WinRT:  40.0% | AvgLen:  6.0 | ALoss: -0.010 | CLoss:  0.590 | Ent: 1.017 | Time: 476.1s
Ep    15300 | WinRT:  44.0% | AvgLen:  6.5 | ALoss:  0.005 | CLoss:  0.619 | Ent: 1.008 | Time: 479.1s
Ep    15400 | WinRT:  45.0% | AvgLen:  6.5 | ALoss:  0.002 | CLoss:  0.543 | Ent: 0.990 | Time: 482.1s
Ep    15500 | WinRT:  37.0% | AvgLen:  6.0 | ALoss: -0.004 | CLoss:  0.571 | Ent: 1.012 | Time: 484.8s
Ep    15600 | WinRT:  47.0% | AvgLen:  6.1 | ALoss: -0.001 | CLoss:  0.599 | Ent: 1.027 | Time: 487.6s
Ep    15700 | WinRT:  46.0% | AvgLen:  6.2 | ALoss:  0.004 | CLoss:  0.528 | Ent: 1.023 | Time: 490.5s
Ep    15800 | WinRT:  41.0% | AvgLen:  6.2 | ALoss: -0.006 | CLoss:  0.514 | Ent: 1.042 | Time: 493.6s
Ep    15900 | WinRT:  46.0% | AvgLen:  6.4 | ALoss: -0.002 | CLoss:  0.662 | Ent: 1.030 | Time: 496.6s
Ep    16000 | WinRT:  50.0% | AvgLen:  6.2 | ALoss: -0.000 | CLoss:  0.659 | Ent: 1.051 | Time: 499.5s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep    16100 | WinRT:  49.0% | AvgLen:  6.2 | ALoss: -0.001 | CLoss:  0.646 | Ent: 1.022 | Time: 502.4s
Ep    16200 | WinRT:  40.0% | AvgLen:  6.5 | ALoss:  0.001 | CLoss:  0.581 | Ent: 1.041 | Time: 505.4s
Ep    16300 | WinRT:  45.0% | AvgLen:  6.3 | ALoss: -0.007 | CLoss:  0.604 | Ent: 1.035 | Time: 508.3s
Ep    16400 | WinRT:  53.0% | AvgLen:  6.2 | ALoss: -0.002 | CLoss:  0.646 | Ent: 1.018 | Time: 511.2s
Ep    16500 | WinRT:  46.0% | AvgLen:  6.2 | ALoss: -0.004 | CLoss:  0.504 | Ent: 1.020 | Time: 514.3s
Ep    16600 | WinRT:  49.0% | AvgLen:  6.2 | ALoss:  0.001 | CLoss:  0.623 | Ent: 1.025 | Time: 517.1s
Ep    16700 | WinRT:  43.0% | AvgLen:  5.8 | ALoss: -0.004 | CLoss:  0.576 | Ent: 0.995 | Time: 520.2s
Ep    16800 | WinRT:  46.0% | AvgLen:  6.0 | ALoss: -0.006 | CLoss:  0.591 | Ent: 0.995 | Time: 523.0s
Ep    16900 | WinRT:  40.0% | AvgLen:  5.8 | ALoss:  0.002 | CLoss:  0.561 | Ent: 0.997 | Time: 526.2s
Ep    17000 | WinRT:  51.0% | AvgLen:  6.5 | ALoss:  0.001 | CLoss:  0.613 | Ent: 0.996 | Time: 529.3s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep    17100 | WinRT:  47.0% | AvgLen:  5.7 | ALoss: -0.002 | CLoss:  0.615 | Ent: 0.988 | Time: 532.2s
Ep    17200 | WinRT:  50.0% | AvgLen:  5.6 | ALoss: -0.013 | CLoss:  0.610 | Ent: 1.028 | Time: 535.2s
Ep    17300 | WinRT:  41.0% | AvgLen:  6.2 | ALoss:  0.001 | CLoss:  0.550 | Ent: 1.003 | Time: 538.0s
Ep    17400 | WinRT:  52.0% | AvgLen:  6.3 | ALoss: -0.002 | CLoss:  0.563 | Ent: 1.023 | Time: 540.9s
Ep    17500 | WinRT:  55.0% | AvgLen:  6.2 | ALoss: -0.003 | CLoss:  0.627 | Ent: 1.007 | Time: 543.8s
Ep    17600 | WinRT:  54.0% | AvgLen:  6.1 | ALoss: -0.002 | CLoss:  0.591 | Ent: 1.012 | Time: 546.9s
Ep    17700 | WinRT:  44.0% | AvgLen:  6.0 | ALoss: -0.000 | CLoss:  0.605 | Ent: 1.021 | Time: 549.7s
Ep    17800 | WinRT:  51.0% | AvgLen:  6.0 | ALoss: -0.001 | CLoss:  0.590 | Ent: 1.023 | Time: 552.8s
Ep    17900 | WinRT:  51.0% | AvgLen:  6.0 | ALoss: -0.003 | CLoss:  0.586 | Ent: 1.033 | Time: 555.6s
Ep    18000 | WinRT:  49.0% | AvgLen:  5.7 | ALoss: -0.005 | CLoss:  0.562 | Ent: 1.029 | Time: 558.7s
  -> Saved checkpoint to ppo_model_gen1.pt
Ep    18100 | WinRT:  44.0% | AvgLen:  6.8 | ALoss: -0.001 | CLoss:  0.607 | Ent: 1.016 | Time: 562.1s
Ep    18200 | WinRT:  49.0% | AvgLen:  6.6 | ALoss: -0.003 | CLoss:  0.572 | Ent: 1.001 | Time: 565.1s
Ep    18300 | WinRT:  45.0% | AvgLen:  6.2 | ALoss: -0.004 | CLoss:  0.571 | Ent: 1.040 | Time: 567.9s
Ep    18400 | WinRT:  48.0% | AvgLen:  6.0 | ALoss:  0.002 | CLoss:  0.658 | Ent: 1.020 | Time: 571.1s
Ep    18500 | WinRT:  53.0% | AvgLen:  6.3 | ALoss: -0.004 | CLoss:  0.531 | Ent: 1.028 | Time: 574.0s
Ep    18600 | WinRT:  45.0% | AvgLen:  6.8 | ALoss: -0.005 | CLoss:  0.602 | Ent: 1.034 | Time: 577.5s
